,总收益,年化收益,年化波动率,夏普比率,最大回撤率,最大回撤起始日,最大回撤结束日,总交易次数,胜率,盈亏比,累计手续费,params
2009,0.044626378644093245,0.04612278202821529,0.2593774390350006,0.0621595389645268,0.020687106956125814,2009-08-03 14:45:00,2009-08-31 14:45:00,3903,0.5001281065846784,1.1087413961321473,0.004240799082868125,fct_new
2010,-0.013703319428100214,-0.014265514392562628,0.32032067154703153,-0.1381912512195245,0.023052609366421513,2010-01-08 15:00:00,2010-07-05 11:00:00,3871,0.4438129682252648,1.2212943912027456,0.0037481559802578436,fct_new
2011,-0.012579442875775615,-0.012989193501050433,0.21439962183780695,-0.2005096517081159,0.02169082632185869,2011-04-15 10:00:00,2011-12-28 13:15:00,3903,0.4173712528823982,1.348897411892161,0.003540975100057536,fct_new
2012,0.009805893623026307,0.010170915692437665,0.17086831157890975,-0.11604892752981258,0.013024736892169242,2012-05-04 14:45:00,2012-12-04 09:45:00,3887,0.4232055569848212,1.4377354108683171,0.003197622027005704,fct_new
2013,-0.014935290438460869,-0.01580685755247868,0.24866924292939185,-0.18420797446785675,0.026665795827548588,2013-02-06 14:00:00,2013-06-25 11:30:00,3807,0.43577620173364856,1.2180307316809147,0.004100931634707456,fct_new
2014,7.236114441200314e-05,7.442868261819946e-05,0.2179828320137941,-0.13728407435080983,0.0356245632667255,2014-12-09 13:30:00,2014-12-24 14:00:00,3919,0.4263842817045165,1.0388325300879089,0.0064222376934059055,fct_new
2015,0.11041185827235878,0.11423134772177734,0.4087857615370208,0.2060525479289452,0.06449012085969616,2015-07-09 11:30:00,2015-08-25 14:30:00,3903,0.47501921598770175,1.6923806366544356,0.021324864866296808,fct_new
2016,-0.0017455547984713826,-0.0018027344863814632,0.19334734010620863,-0.16448498577178117,0.01478951236965937,2016-01-04 09:45:00,2016-02-29 13:30:00,3903,0.4235203689469639,1.361158751281569,0.002874773196246963,fct_new
2017,0.01471653456592592,0.015202693463065575,0.10555166283882855,-0.1401901792824342,0.005263205984847328,2017-11-22 11:00:00,2017-12-15 14:15:00,3903,0.4368434537535229,1.4124641712976203,0.0023876547875615853,fct_new
2018,-0.016009027873031156,-0.016597007465363633,0.23062493612118234,-0.2020467007994276,0.023962979526475216,2018-01-24 13:15:00,2018-12-25 11:15:00,3887,0.4365834834062259,1.2027664900790225,0.0030704356310007333,fct_new
2019,0.021022660294125695,0.02171936031033672,0.14585627272138363,-0.056772599046741395,0.008450180473380893,2019-04-19 15:00:00,2019-05-09 10:30:00,3903,0.45759672047143224,1.2967991493136073,0.002946540984533076,fct_new
2020,0.0098105100131336,0.010175704790887252,0.21325705906675863,-0.09295962016857266,0.014123170554305661,2020-01-02 10:30:00,2020-03-19 10:45:00,3887,0.47440185232827375,1.1101492817937797,0.003925268921146313,fct_new
2021,-0.005486730934017858,-0.005689364036791988,0.19447167317009892,-0.183519601878344,0.01810113015622744,2021-02-10 15:00:00,2021-08-20 13:30:00,3887,0.4710573707229226,1.1096476093259173,0.0026514200820476463,fct_new
2022,-0.022532289446108855,-0.02588326657150719,0.24511289630406208,-0.22798990756563092,0.03038017379483843,2022-01-05 10:45:00,2022-10-31 10:00:00,3502,0.452598515134209,1.1256708104891076,0.0030833919886489375,fct_new
样本内,0.07465595207392539,0.005028954233439187,0.13787200403224129,-0.1811175948434125,0.16688739517497794,2007-01-08 11:00:00,2008-09-18 11:15:00,57856,0.44183835730088494,1.3684721358255996,0.11886871489395977,fct_new
